date, pm25, pm10, o3, no2, so2, co
2021/9/1, 25, 7, 16, 9, 2, 5
2021/9/2, 19, 7, 18, 14, , 5
2021/9/3, 22, , 22, 11, , 5
2021/9/6, 8, 12, 17, 10, 1, 5
2021/9/7, 5, 11, 21, 12, 1, 5
2021/9/8, 5, 25, 68, 20, 1, 6
2021/9/9, 12, 16, 35, 13, 1, 5
2021/9/10, 14, 26, 102, 13, 1, 6
2021/9/11, 55, 34, 87, 18, 2, 6
2021/9/12, 84, 29, 48, 18, 1, 7
2021/9/13, 73, 13, 15, 21, , 6
2021/9/14, 35, 32, 115, 21, 1, 7
2021/9/15, 65, 25, 48, 21, , 6
2021/9/16, 58, 23, 50, 25, , 6
2021/9/17, 58, 21, 42, 11, , 6
2021/9/18, 59, 8, 20, 6, , 5
2021/9/19, 18, 10, 13, 13, , 5
2021/9/20, 19, 15, 23, 18, , 6
2021/9/21, 36, 13, 18, 10, , 4
2021/9/22, 27, 8, 10, 12, , 4
2021/9/23, 18, 12, 29, 12, , 3
2021/9/24, 25, 19, 37, 9, , 3
2021/9/25, 42, 24, 46, 8, , 4
2021/9/26, 51, 35, 81, 19, , 5
2021/9/27, 78, 42, 89, 20, 1, 4
2021/9/28, 96, 36, 87, 16, 1, 5
2021/9/29, 84, 39, 88, 18, 1, 5
2021/9/30, 91, 35, 57, 19, 1, 6
2021/4/1, 38, 14, 23, 10, 1, 1
2021/4/2, 46, 15, 16, 13, 1, 1
2021/4/3, 44, 31, 28, 15, 2, 4
2021/4/4, 70, 25, 43, 9, 1, 5
2021/4/5, 64, 36, 71, 10, 1, 4
2021/4/6, 81, 28, 51, 10, 1, 3
2021/4/7, 64, 24, 42, 15, 1, 2
2021/4/8, 45, 22, 32, 18, 1, 5
2021/4/9, 65, 28, 62, 11, 1, 3
2021/4/10, 61, 19, 54, 7, 1, 2
2021/4/11, 47, 13, 33, 16, 1, 2
2021/4/12, 40, 14, 25, 21, 2, 1
2021/4/13, 45, 18, 42, 15, 1, 1
2021/4/14, 45, 15, 39, 10, 1, 1
2021/4/15, 38, 19, 37, 13, 1, 2
2021/4/16, 52, 21, 49, 15, 1, 4
2021/4/17, 62, 53, 81, 8, 1, 2
2021/4/18, 82, 51, 70, 10, 1, 2
2021/4/19, 72, 24, 53, 11, 1, 1
2021/4/20, 55, 30, 56, 11, 1, 1
2021/4/21, 54, 37, 77, 13, 1, 2
2021/4/22, 58, 33, 70, 23, 3, 3
2021/4/23, 76, 18, 47, 9, 1, 2
2021/4/24, 53, 17, 38, 7, 1, 2
2021/4/25, 53, 17, 36, 9, 1, 1
2021/4/26, 41, 12, 28, 13, 1, 2
2021/4/27, 32, 21, 25, 16, 1, 4
2021/4/28, 49, 18, 83, 21, 1, 6
2021/4/29, 45, 18, 89, 18, 2, 6
2021/4/30, 52, 21, 104, 18, 2, 6
2021/5/1, 63, 22, 56, 18, 1, 6
2021/5/2, 75, 14, 32, 12, 1, 4
2021/5/3, 44, 17, 27, 9, 1, 3
2021/5/4, 43, 20, 89, 19, 1, 4
2021/5/5, 52, 26, 49, 11, 1, 4
2021/5/6, 56, 24, 44, 17, 1, 4
2021/5/7, 60, 20, 37, 13, , 4
2021/5/8, 58, 14, 38, 9, , 3
2021/5/9, 50, 10, 27, 9, , 3
2021/5/10, 33, 10, 22, 7, , 3
2021/5/11, 31, 10, 21, 7, , 3
2021/5/12, 37, 11, 18, 9, , 3
2021/5/13, 41, 11, 17, 11, 1, 3
2021/5/14, 45, 11, 29, 8, , 3
2021/5/15, 38, 9, 24, 4, , 3
2021/5/16, 34, 10, 20, 7, , 3
2021/5/17, 33, 9, 21, 7, , 3
